,id,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,preview_url
139,5hzrmJKIS2CHmvlUWkdlYy,HipHop,0.798,0.789,4,-5.114,1,0.26,0.0367,0.0,0.388,0.709,162.055,205926,4,https://p.scdn.co/mp3-preview/33cf640e76ec5b5b62b07871a74769ef1e22fc61?cid=b1b7bb35faa34eac9690da4b561aa86f
140,3DFkDKoILOZ3an5oJzKDNZ,HipHop,0.593,0.724,2,-7.162,1,0.33,0.0896,0.0,0.648,0.58,81.308,217914,4,https://p.scdn.co/mp3-preview/e8048df90b78675d2f20936fe62c6b35dc21892a?cid=b1b7bb35faa34eac9690da4b561aa86f
141,2Yd5D02hVICrlpMvd4JOqc,HipHop,0.381,0.899,0,-2.908,1,0.499,0.145,0.0,0.405,0.286,175.74,219931,4,https://p.scdn.co/mp3-preview/0d71e4de3d4d37ecbb7852000308e6735cf6d6e0?cid=b1b7bb35faa34eac9690da4b561aa86f
142,7GkZ2cx7i74zu1piQy3i6T,HipHop,0.915,0.618,7,-8.581,1,0.0881,0.0137,5.23e-06,0.18,0.154,140.964,150680,4,
143,0VJXWgw0GWsprapvlpbuyu,HipHop,0.876,0.528,9,-9.223,1,0.233,0.0619,0.0,0.0904,0.346,123.007,206890,4,https://p.scdn.co/mp3-preview/278005f194f52f349b5d0ea1dab5285055edf5b3?cid=b1b7bb35faa34eac9690da4b561aa86f
144,6uTPdRrEDeH8Fyg5L5qmeU,HipHop,0.781,0.567,1,-7.857,1,0.0969,0.0504,0.0,0.0981,0.0743,121.964,125902,4,https://p.scdn.co/mp3-preview/03a94a73a0be0f5264e466ef019af922baf6a53d?cid=b1b7bb35faa34eac9690da4b561aa86f
145,2Gk6fi0dqt91NKvlzGsmm7,HipHop,0.773,0.635,10,-5.06,1,0.0452,0.0585,0.0,0.132,0.476,121.879,173253,4,
146,01tr4fGvHSR96HkrNrbFS0,HipHop,0.913,0.773,5,-6.555,0,0.13,0.288,0.0,0.0716,0.62,122.992,169588,4,https://p.scdn.co/mp3-preview/49bb7e77f3eff567f7288540cf3ec4159b5ff648?cid=b1b7bb35faa34eac9690da4b561aa86f
147,2YSzYUF3jWqb9YP9VXmpjE,HipHop,0.663,0.67,8,-8.399,1,0.271,0.0464,8.92e-05,0.205,0.138,136.952,260111,4,
148,3C9YXCS9aS60nyGqL4X13l,HipHop,0.4,0.715,4,-6.629,0,0.328,0.0652,0.0,0.104,0.344,83.08,180893,4,https://p.scdn.co/mp3-preview/e938ef2c74c148514754a660455dc18413f6b782?cid=b1b7bb35faa34eac9690da4b561aa86f
149,0Yn7YAYQVEtOZYJDhRN1Le,HipHop,0.582,0.66,5,-5.624,1,0.351,0.0243,0.0,0.113,0.531,82.141,154818,4,
150,0nXqW7YxqIzwlQJAtJahHh,HipHop,0.828,0.724,5,-5.636,0,0.15,0.0142,0.0,0.133,0.603,136.905,196568,4,https://p.scdn.co/mp3-preview/71c29096e9b559e2596f3efd7e10678d4be997d0?cid=b1b7bb35faa34eac9690da4b561aa86f
151,06P0OMevRLv6wWGdXHSGN2,HipHop,0.77,0.686,1,-3.824,0,0.176,0.0831,3.6e-06,0.0847,0.397,110.051,246753,4,https://p.scdn.co/mp3-preview/b6e3be09546ccef4a5c2c411564b45c77deafee3?cid=b1b7bb35faa34eac9690da4b561aa86f
152,67nepsnrcZkowTxMWigSbb,HipHop,0.557,0.774,7,-5.275,0,0.351,0.012,0.0,0.396,0.397,111.975,246134,4,https://p.scdn.co/mp3-preview/7c7e0e4419d101bcf73764f245639d7bc83b662a?cid=b1b7bb35faa34eac9690da4b561aa86f
153,2jcAIXXCZXz8cHD6bxkkRk,HipHop,0.65,0.565,0,-4.997,1,0.263,0.00268,0.0,0.149,0.146,124.999,136773,4,https://p.scdn.co/mp3-preview/490250a1798ecdfedd6214640bfcf47a7afb8fe6?cid=b1b7bb35faa34eac9690da4b561aa86f
154,3FjK86616FbluOfTxNK2gY,HipHop,0.931,0.401,0,-8.756,1,0.158,0.399,2.05e-06,0.266,0.613,128.871,148928,4,https://p.scdn.co/mp3-preview/066d874dba49b223e4a6fd6ce219b17a0c9c91aa?cid=b1b7bb35faa34eac9690da4b561aa86f
155,2FDTHlrBguDzQkp7PVj16Q,HipHop,0.916,0.583,1,-8.067,1,0.241,0.186,0.0,0.0798,0.661,141.095,226383,4,
156,1nXEbGvVAWGRFwVRBu1YSY,HipHop,0.868,0.63,8,-8.041,1,0.221,0.18,3.69e-05,0.118,0.425,142.002,149938,4,
